scene,split,views,selection,iterations,resolution,status,runtime_sec,train_psnr,train_l1,initial_points,model_path,run_report
db/playroom,5views_random_seed3,5,random_seed3,3000,4,success,36.077911100001074,46.73869323730469,0.0029926812276244164,2900,results\method_outputs\db\playroom\3dgs_sparse\5views_random_seed3,results\method_outputs\db\playroom\3dgs_sparse\5views_random_seed3\run_report.json
db/playroom,5views_random_seed4,5,random_seed4,3000,4,success,44.4208845999965,47.249324798583984,0.002731350949034095,5459,results\method_outputs\db\playroom\3dgs_sparse\5views_random_seed4,results\method_outputs\db\playroom\3dgs_sparse\5views_random_seed4\run_report.json
db/playroom,5views_uniform,5,uniform,3000,4,success,30.693583799999942,46.79230880737305,0.002887065289542079,4284,results\method_outputs\db\playroom\3dgs_sparse\5views_uniform,results\method_outputs\db\playroom\3dgs_sparse\5views_uniform\run_report.json
db/playroom,8views_quality,8,quality,3000,4,success,53.49380350000047,41.26492767333985,0.004866081057116389,10669,results\method_outputs\db\playroom\3dgs_sparse\8views_quality,results\method_outputs\db\playroom\3dgs_sparse\8views_quality\run_report.json
db/playroom,8views_quality_diverse,8,quality_diverse,3000,4,success,56.96004879999964,40.78615112304688,0.005422964738681913,9492,results\method_outputs\db\playroom\3dgs_sparse\8views_quality_diverse,results\method_outputs\db\playroom\3dgs_sparse\8views_quality_diverse\run_report.json
db/playroom,8views_quality_image_diverse,8,quality_image_diverse,3000,4,success,89.37836619999871,40.73649368286133,0.004991859616711736,10557,results\method_outputs\db\playroom\3dgs_sparse\8views_quality_image_diverse,results\method_outputs\db\playroom\3dgs_sparse\8views_quality_image_diverse\run_report.json
db/playroom,8views_random,8,random,3000,4,success,48.96573780000017,44.87820739746094,0.003651790460571647,7258,results\method_outputs\db\playroom\3dgs_sparse\8views_random,results\method_outputs\db\playroom\3dgs_sparse\8views_random\run_report.json
db/playroom,8views_random_seed0,8,random_seed0,3000,4,success,54.48282750000362,43.85151977539063,0.0038976931013166905,6253,results\method_outputs\db\playroom\3dgs_sparse\8views_random_seed0,results\method_outputs\db\playroom\3dgs_sparse\8views_random_seed0\run_report.json
db/playroom,8views_random_seed1,8,random_seed1,3000,4,success,57.37820169999759,43.83761215209961,0.004966555489227176,7464,results\method_outputs\db\playroom\3dgs_sparse\8views_random_seed1,results\method_outputs\db\playroom\3dgs_sparse\8views_random_seed1\run_report.json
db/playroom,8views_random_seed2,8,random_seed2,3000,4,success,39.906157299999904,45.36713485717774,0.0034291185904294255,8346,results\method_outputs\db\playroom\3dgs_sparse\8views_random_seed2,results\method_outputs\db\playroom\3dgs_sparse\8views_random_seed2\run_report.json
db/playroom,8views_random_seed3,8,random_seed3,3000,4,success,44.76609869999811,43.56155548095703,0.00490781432017684,7514,results\method_outputs\db\playroom\3dgs_sparse\8views_random_seed3,results\method_outputs\db\playroom\3dgs_sparse\8views_random_seed3\run_report.json
db/playroom,8views_random_seed4,8,random_seed4,3000,4,success,54.65456790000462,45.66907653808594,0.003748201904818416,4194,results\method_outputs\db\playroom\3dgs_sparse\8views_random_seed4,results\method_outputs\db\playroom\3dgs_sparse\8views_random_seed4\run_report.json
db/playroom,8views_uniform,8,uniform,3000,4,success,58.17842480000036,42.997650146484375,0.004545388696715236,6609,results\method_outputs\db\playroom\3dgs_sparse\8views_uniform,results\method_outputs\db\playroom\3dgs_sparse\8views_uniform\run_report.json
db/playroom,12views_quality,12,quality,3000,4,success,64.84734949999984,40.10873718261719,0.005659906473010779,12443,results\method_outputs\db\playroom\3dgs_sparse\12views_quality,results\method_outputs\db\playroom\3dgs_sparse\12views_quality\run_report.json
db/playroom,12views_quality_diverse,12,quality_diverse,3000,4,success,69.7944335000002,40.06774063110352,0.005386072490364314,13364,results\method_outputs\db\playroom\3dgs_sparse\12views_quality_diverse,results\method_outputs\db\playroom\3dgs_sparse\12views_quality_diverse\run_report.json
db/playroom,12views_quality_image_diverse,12,quality_image_diverse,3000,4,success,86.44606270000077,39.93762741088867,0.005766923446208239,12972,results\method_outputs\db\playroom\3dgs_sparse\12views_quality_image_diverse,results\method_outputs\db\playroom\3dgs_sparse\12views_quality_image_diverse\run_report.json
db/playroom,12views_random,12,random,3000,4,success,69.99227510000037,44.742820739746094,0.0032732350751757625,10919,results\method_outputs\db\playroom\3dgs_sparse\12views_random,results\method_outputs\db\playroom\3dgs_sparse\12views_random\run_report.json
